workerId,category,pair,count,eventCat,event
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,10,1.0,utterance,lecturing
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,13,2.0,utterance,presenting
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,5,2.0,contact,cuddling
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,36,12.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,32,2.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,4,1.0,contact,embracing
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,30,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,9,1.0,utterance,thanking
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,29,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,15,1.0,kindness,advising
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,26,5.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,LVC,11,1.0,utterance,talking
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,34,14.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,20,50.0,kindness,condoling
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,39,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,35,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,37,3.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,8,1.0,utterance,scolding
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,35,2.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,filler,27,1.0,filler,filler
1a724a7788169b47d90d9414a642d7d5ca48dc6a34b3a96e1780b73f,BV,24,1.0,kindness,respecting
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,18,1.0,kindness,assuring
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,38,3.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,22,1.0,kindness,recognizing
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,26,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,31,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,12,1.0,utterance,speaking
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,1,1.0,contact,kissing
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,38,10.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,33,5.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,23,1.0,kindness,supporting
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,21,1.0,kindness,helping
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,14,1.0,utterance,addressing
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,filler,30,1.0,filler,filler
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,LVC,3,1.0,contact,hugging
dce13afd9f9dc7fac88e80d2678016a643708a55ba4006312f411593,BV,2,5.0,contact,kicking
