workerId,sentId,event,eventCat,construction,english,time
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,12,cuddling,PC,BV,yes,3600.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,63,filler,filler,filler,yes,9000.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,59,filler,filler,filler,yes,1800.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,69,filler,filler,filler,yes,18000.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,9,embracing,PC,LVC,yes,5.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,54,filler,filler,filler,yes,80.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,53,filler,filler,filler,yes,900.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,70,filler,filler,filler,yes,3600.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,62,filler,filler,filler,yes,17100.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,67,filler,filler,filler,yes,20.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,55,filler,filler,filler,yes,10.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,71,filler,filler,filler,yes,7200000.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,57,filler,filler,filler,yes,60.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,58,filler,filler,filler,yes,7200.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,6,hugging,PC,BV,yes,5.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,72,filler,filler,filler,yes,10800000.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,16,shaking,PC,BV,yes,30.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,68,filler,filler,filler,yes,10800.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,56,filler,filler,filler,yes,18000.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,61,filler,filler,filler,yes,3600.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,60,filler,filler,filler,yes,10.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,65,filler,filler,filler,yes,180.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,3,kicking,PC,LVC,yes,20.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,2,kissing,PC,BV,yes,25.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,66,filler,filler,filler,yes,2100.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,64,filler,filler,filler,yes,5400.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,13,poking,PC,LVC,yes,5.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,12,cuddling,PC,BV,yes,3600.0
584f3cb877786efdce83c94cc7156f117a0deebe9b1d7dbc480c9eea,63,filler,filler,filler,yes,7200.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,59,filler,filler,filler,yes,1215.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,69,filler,filler,filler,yes,12017.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,9,embracing,PC,LVC,yes,20.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,54,filler,filler,filler,yes,10.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,53,filler,filler,filler,yes,330.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,70,filler,filler,filler,yes,5715.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,62,filler,filler,filler,yes,54740.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,67,filler,filler,filler,yes,951.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,55,filler,filler,filler,yes,70.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,71,filler,filler,filler,yes,432315.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,57,filler,filler,filler,yes,43200915.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,58,filler,filler,filler,yes,80.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,6,hugging,PC,BV,yes,20.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,72,filler,filler,filler,yes,2162718.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,16,shaking,PC,BV,yes,20.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,68,filler,filler,filler,yes,1215.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,56,filler,filler,filler,yes,10213.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,61,filler,filler,filler,yes,140.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,60,filler,filler,filler,yes,10.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,65,filler,filler,filler,yes,60.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,3,kicking,PC,LVC,yes,15.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,2,kissing,PC,BV,yes,20.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,66,filler,filler,filler,yes,313.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,64,filler,filler,filler,yes,2105.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,13,poking,PC,LVC,yes,2.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,12,cuddling,PC,BV,yes,75.0
5818a5eae30786720ed47526f080a05641524923fb0b369c4edb90d4,63,filler,filler,filler,yes,9912.0
805a6b4a062b2a14798616b0402e51a8c9dc63a41f8021ceee7ebcf7,59,filler,filler,filler,yes,1200.0
