workerId,list,pair,similarity,event,eventCat,events
OPSDN,2,58,2,supporting,kindness,supporting -- giving support
OPSDN,3,filler,2,filler,filler,napping -- taking a nap
OPSDN,3,filler,7,filler,filler,chasing -- searching
OPSDN,3,filler,3,filler,filler,going -- traveling
OPSDN,3,filler,6,filler,filler,studying -- working
OPSDN,3,filler,7,filler,filler,learning -- teaching
OPSDN,3,filler,4,filler,filler,dozing -- snoozing
OPSDN,3,filler,3,filler,filler,detesting -- disliking
OPSDN,3,filler,6,filler,filler,watching a movie -- going out
OPSDN,3,filler,3,filler,filler,writing -- typing
OPSDN,3,filler,2,filler,filler,being sick -- being ill
OPSDN,3,filler,3,filler,filler,brooding -- sulking
OPSDN,3,filler,3,filler,filler,blinking -- winking
OPSDN,3,filler,3,filler,filler,delivering -- sending
OPSDN,3,filler,7,filler,filler,working -- being lazy
OPSDN,3,filler,4,filler,filler,emailing -- sending
OPSDN,3,filler,3,filler,filler,tripping -- falling
OPSDN,3,filler,4,filler,filler,driving -- riding a bike
OPSDN,3,filler,1,filler,filler,showering -- taking a shower
OPSDN,3,filler,3,filler,filler,jumping -- hopping
OPSDN,3,filler,4,filler,filler,seeing -- experiencing
OPSDN,3,filler,3,filler,filler,growing -- ageing
OPSDN,3,filler,2,filler,filler,repairing -- fixing
OPSDN,2,8,3,speaking,utterance,speaking -- giving a speech
OPSDN,2,9,2,talking,utterance,talking -- giving a talk
OPSDN,2,10,1,presenting,utterance,presenting -- giving a presentation
HUDSN,2,1,2,thanking,utterance,thanking -- giving thanks
HUDSN,2,1,1,kissing,contact,kissing -- giving a kiss
HUDSN,2,2,4,kicking,contact,kicking -- giving a kick
HUDSN,2,3,7,scolding,utterance,scolding -- giving a scolding
HUDSN,2,3,1,hugging,contact,hugging -- giving a hug
HUDSN,2,4,2,lecturing,utterance,lecturing -- giving a lecture
HUDSN,2,4,1,embracing,contact,embracing -- giving an embrace
HUDSN,2,5,1,cuddling,contact,cuddling -- giving a cuddle
HUDSN,2,6,1,poking,contact,poking -- giving a poke
HUDSN,2,7,5,shaking,contact,shaking -- giving a shake
HUDSN,2,42,3,advising,kindness,advising -- giving advice
HUDSN,2,44,3,approving,kindness,approving -- giving approval
HUDSN,2,46,1,assisting,kindness,assisting -- giving assistance
HUDSN,2,48,3,assuring,kindness,assuring -- giving assurance
HUDSN,2,50,3,encouraging,kindness,encouraging -- giving encouragement
HUDSN,2,52,1,condoling,kindness,condoling -- giving condolences
HUDSN,2,53,4,addressing,utterance,addressing -- giving an address
HUDSN,2,54,1,helping,kindness,helping -- giving help
HUDSN,2,56,5,recognizing,kindness,recognizing -- giving recognition
